"Ranking","country","No_of_ciggrettes"
"1","China","4124.53"
"2","Belarus","3831.62"
"3","Lebanon","3023.15"
"4","Macedonia","2732.23"
"5","Russia","2690.33"
"6","Slovenia","2637.03"
"7","Denmark","2353.28"
"8","Luxembourg","2283.00"
"9","Canada","2249.79"
"10","Serbia","2249.79"
"11","Bosnia and Herzegovina","2233.46"
"12","Czech Republic","2194.01"
"13","Kazakhstan","2156.59"
"14","Azerbaijan","2114.33"
"15","Greece","2086.09"
"16","South Korea","2072.57"
"17","Austria","1987.52"
"18","Jordan","1855.05"
"19","Ukraine","1853.66"
"20","Estonia","1758.63"
"21","Mozambique","1713.00"
"22","Croatia","1709.30"
"23","United States","1687.56"
"24","Cyprus","1643.67"
"25","Switzerland","1633.86"
"26","Tunisia","1628.46"
"27","Romania","1619.82"
"28","Slovakia","1617.59"
"29","Turkey","1580.91"
"30","Armenia","1545.13"
"31","Kuwait","1517.26"
"32","Bulgaria","1504.72"
"33","Germany","1480.04"
"34","Italy","1442.87"
"35","Iceland","1396.06"
"36","Poland","1396.06"
"37","Hungary","1395.97"
"38","Saudi Arabia","1395.14"
"39","Cuba","1391.98"
"40","Netherlands","1391.98"
"41","Georgia","1378.45"
"42","North Korea","1378.23"
"43","Argentina","1359.40"
"44","Israel","1346.21"
"45","Libya","1332.77"
"46","Indonesia","1322.30"
"47","Philippines","1291.08"
"48","Malta","1266.14"
"49","Haiti","1264.74"
"50","Vietnam","1226.92"
"51","Egypt","1215.30"
"52","Iraq","1187.65"
"53","Albania","1177.42"
"54","Belgium","1154.25"
"55","Uruguay","1135.16"
"56","Lithuania","1123.86"
"57","Portugal","1114.11"
"58","Moldova","1112.80"
"59","Montenegro","1083.41"
"60","Ireland","1083.41"
"61","Norway","1082.87"
"62","Finland","1082.87"
"63","Algeria","1041.18"
"64","Latvia","1024.09"
"65","France","1022.88"
"66","Brunei","992.81"
"67","Bahrain","968.68"
"68","Australia","957.20"
"69","Mongolia","955.72"
"70","Chile","929.55"
"71","Thailand","925.00"
"72","Turkmenistan","895.24"
"73","Sweden","868.89"
"74","Iran","835.51"
"75","Laos","831.00"
"76","Namibia","827.48"
"77","United Kingdom","826.13"
"78","Papua New Guinea","740.25"
"79","United Arab Emirates","715.01"
"80","Qatar","697.73"
"81","Kyrgyzstan","682.83"
"82","Morocco","679.95"
"83","New Zealand","671.12"
"84","Singapore","664.98"
"85","Bangladesh","651.63"
"86","Equatorial Guinea","649.00"
"87","Cambodia","644.99"
"88","Fiji","617.69"
"89","Jamaica","609.67"
"90","Seychelles","589.66"
"91","Malaysia","583.67"
"92","Oman","576.55"
"93","Venezuela","572.84"
"94","Uzbekistan","565.39"
"95","Gabon","559.05"
"96","South Africa","537.03"
"97","Tajikistan","533.04"
"98","Cape Verde","514.86"
"99","Brazil","510.59"
"100","Pakistan","503.90"
"101","Senegal","491.78"
"102","Honduras","489.01"
"103","Angola","488.80"
"104","Nicaragua","487.84"
"105","Ivory Coast","477.01"
"106","Djibouti","475.89"
"107","Syria","458.63"
"108","Botswana","448.81"
"109","Costa Rica","432.33"
"110","Sudan","427.75"
"111","Swaziland","427.08"
"112","Belize","400.10"
"113","South Sudan","398.48"
"114","Yemen","388.23"
"115","Antigua and Barbuda","361.63"
"116","Colombia","359.39"
"117","Hong Kong","345.32"
"118","Saint Vincent and the Grenadines","338.29"
"119","Barbados","333.09"
"120","Mexico","329.26"
"121","Sri Lanka","322.44"
"122","Sierra Leone","309.58"
"123","Bahamas","301.22"
"124","Bolivia","299.49"
"125","Congo","293.84"
"126","Comoros","289.42"
"127","El Salvador","280.35"
"128","Mauritius","261.40"
"129","Kenya","256.57"
"130","Togo","249.85"
"131","Dominican Republic","245.36"
"132","Mali","236.09"
"133","Saint Lucia","231.55"
"134","Grenada","224.33"
"135","Panama","224.27"
"136","Maldives","215.42"
"137","Burkina Faso","213.20"
"138","Madagascar","205.82"
"139","Myanmar","205.55"
"140","Ecuador","190.98"
"141","Guatemala","189.50"
"142","Cameroon","184.17"
"143","Central African Republic","177.76"
"144","Guinea-Bissau","174.84"
"145","Nigeria","172.68"
"146","Paraguay","166.00"
"147","Gambia","165.93"
"148","Zambia","164.55"
"149","Chad","156.31"
"150","Bhutan","155.09"
"151","Mauritania","134.92"
"152","Zimbabwe","133.53"
"153","Benin","122.10"
"154","Ghana","120.85"
"155","Somalia","116.66"
"156","Peru","116.33"
"157","Haiti","113.93"
"158","Eritrea","113.58"
"159","India","110.93"
"160","S<U+00E3>o Tom¨¦ and Pr¨ªncipe","110.65"
"161","Niger","105.36"
"162","Liberia","104.36"
"163","Tanzania","101.12"
"164","Burundi","97.73"
"165","Trinidad and Tobago","97.03"
"166","Lesotho","87.69"
"167","Afghanistan","83.81"
"168","Nepal","83.00"
"169","Mozambique","81.71"
"170","Tonga","81.07"
"171","Malawi","80.02"
"172","Suriname","79.24"
"173","Guyana","76.58"
"174","Vanuatu","76.20"
"175","Ethiopia","75.80"
"176","Democratic Republic of the Congo","74.39"
"177","Samoa","54.21"
"178","Rwanda","53.24"
"179","Uganda","41.08"
"180","Kiribati","28.03"
"181","Solomon Islands","26.42"
"182","Guinea","14.96"
